# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
a 	嗄	c=1 d=2.44634e-54 t=63164
a 	阿	c=1 d=0.000428594 t=63164
a bo luo 	阿波羅	c=0 d=7.00912e-27 t=63164
a bo luo ni ya 	阿波羅尼亞	c=1 d=7.04426e-26 t=63164
a dou 	阿斗	c=2 d=1.96561 t=57909
a er fa 	阿爾法	c=0 d=6.99199e-57 t=63164
a er fa ce lve 	阿爾法策略	c=1 d=7.02704e-56 t=63164
a fan 	阿凡	c=3 d=1.71994e-38 t=63164
a hong 	阿訇	c=1 d=8.20963e-33 t=63164
a la bo 	阿拉伯	c=1 d=1.36102e-38 t=63164
a li si 	啊里斯	c=1 d=1 t=62888
a long 	阿龍	c=1 d=2.37089e-09 t=63164
a yang 	阿陽	c=1 d=7.00651e-51 t=63164
a ying 	阿英	c=3 d=9.6996e-39 t=63164
a yo 	啊唷	c=0 d=0.025924 t=63164
ai 	哎	c=1 d=1.28779e-05 t=63164
ai 	唉	c=17 d=0.164783 t=63164
ai 	愛	c=13 d=0.112478 t=63164
ai 	矮	c=2 d=0.00181803 t=63164
ai 	艾	c=1 d=3.24059e-38 t=63164
ai ai 	唉唉	c=2 d=2.36437e-06 t=63164
ai dao 	捱到	c=3 d=5.80237e-09 t=63164
ai ge 	挨個	c=1 d=4.56416e-38 t=63164
ai hao 	愛好	c=9 d=0.0118189 t=63164
ai hao zhe 	愛好者	c=5 d=2.99122e-08 t=63164
ai hu 	愛護	c=1 d=1 t=61633
ai li si 	愛麗絲	c=3 d=1.93239 t=62889
ai ma 	艾瑪	c=5 d=3.31606e-15 t=63164
ai mei 	曖昧	c=4 d=6.97021e-16 t=63164
ai ni 	愛你	c=1 d=1 t=61099
ai pin cai hui ying 	唉拼纔會贏	c=1 d=1.40299e-13 t=63164
ai qing 	愛情	c=1 d=2.43085e-25 t=63164
ai qing jia geng gao 	愛情價更高	c=1 d=2.62381e-25 t=63164
ai rui 	艾瑞	c=1 d=2.75364e-05 t=63164
ai sen 	埃森	c=0 d=2.78218e-39 t=63164
ai sen bo ge 	埃森伯格	c=1 d=2.79612e-38 t=63164
ai sen bo ge 	艾森伯格	c=1 d=3.75555e-38 t=63164
ai shang 	愛上	c=3 d=0.0212797 t=63164
ai wei er 	艾薇兒	c=1 d=2.66763e-14 t=63164
ai xue xi 	愛學習	c=1 d=1.44966e-45 t=63164
an 	安	c=2 d=4.92063e-11 t=63164
an 	按	c=14 d=0.00177315 t=63164
an 	案	c=1 d=3.19962e-65 t=63164
an bi li 	按比例	c=1 d=5.82036e-16 t=63164
an dan 	黯淡	c=3 d=9.6392e-39 t=63164
an de 	安德	c=1 d=2.66528e-33 t=63164
an de lie 	安德烈	c=1 d=1.01557e-64 t=63164
an dun 	安頓	c=1 d=7.55245e-22 t=63164
an fen 	按分	c=1 d=3.96869e-11 t=63164
